,sentence:,gloss,label,prob1,prob2
0,Your comments implied we had discovered that the `` principal cause `` of homelessness is to be found in the large numbers of mentally ill and substance-abusing people in the homeless population .,"discover or determine the existence, presence, or fact of",1,0.3988189697265625,0.7277230620384216
1,"Homeless people not only lack safety , privacy and shelter , they also lack the elementary necessities of nutrition , cleanliness and basic health care .",anything indispensable,1,0.3847585618495941,0.790757417678833
2,"This will require us to develop a much more sophisticated understanding of the dynamics of homelessness than we currently possess , an understanding that can be developed only through careful study and research .","have as an attribute, knowledge, or skill",1,0.3818872272968292,0.7007521986961365
3,"The study shows that nearly 40 % of the homeless population is made up of women and children and that only 25 % of the homeless exhibits some combination of drug , alcohol and mental problems .","show an attribute, property, knowledge, or skill",1,0.3412155210971832,0.7810165286064148
4,"According to Dr. Wright , homelessness is `` simultaneously a housing problem , an employment problem , a demographic problem , a problem of social disaffiliation , a mental health problem , a family violence problem , a problem created by the cutbacks in social welfare spending , a problem resulting from the decay of the traditional nuclear family , and a problem intimately connected to the recent increase in the number of persons living below the poverty level . ``",inhabit or live in; be an inhabitant of,0,0.2428877055644989,0.6197255849838257
5,"But many others have fallen through cracks in the economy into the grim , brutal world of our city streets .","move downward and lower, but not necessarily all the way",0,0.43068838119506836,0.17863331735134125
6,You dismiss as `` sentimental `` the view that the reduction of federal housing-assistance programs by 77 % might have played a significant role in the increased number of men and women sleeping on our city streets during the Reagan-Bush years .,the actions and activities assigned to or required or expected of a person or group,1,0.5688899755477905,0.8736340403556824
7,You dismiss as `` sentimental `` the view that the reduction of federal housing-assistance programs by 77 % might have played a significant role in the increased number of men and women sleeping on our city streets during the Reagan-Bush years .,a concept of quantity involving zero and units,0,0.10945732146501541,0.4285467267036438
8,"Of the approximately 200 sponsors of the recent march in Washington for the homeless , you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen , insinuating that the march got its major support from self-serving groups that `` know a good thing when they see it , `` and that the crusade was based on greed or the profit motive .",the month following February and preceding April,0,0.6299006938934326,0.9793510437011719
9,"Of the approximately 200 sponsors of the recent march in Washington for the homeless , you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen , insinuating that the march got its major support from self-serving groups that `` know a good thing when they see it , `` and that the crusade was based on greed or the profit motive .",a special situation,0,0.13868831098079681,0.44472524523735046
10,"`` Feeding Frenzy `` ( Henry Holt , 326 pages , $ 19.95 ) , a highly detailed account of the Wedtech scandal , begins on a reassuring note .",a record or narrative description of past events,1,0.6327696442604065,0.8838114738464355
11,"Any question as to why an author would believe this plaintive , high-minded note of assurance is necessary is answered by reading this book about sticky fingers and sweaty scammers .",give the correct answer or solution to,0,0.4898490607738495,0.2263229638338089
12,"Although started in 1965 , Wedtech did n't really get rolling until 1975 , when Mr. Neuberger discovered the federal government 's Section 8 A minority business program .",take the first step or steps in carrying out an action,0,0.4508397877216339,0.737235426902771
13,"This is a Johnson-era , Great Society creation that mandates certain government contracts be awarded noncompetitively to minority businesses .",the human act of creating,0,0.7338922023773193,0.45090222358703613
14,"This is a Johnson-era , Great Society creation that mandates certain government contracts be awarded noncompetitively to minority businesses .",the event that occurred at the beginning of something,0,0.11555756628513336,0.39812171459198
